ni	xi
574	8
644	11
451	3
433	4
489	6
643	3
558	8
630	5
524	3
257	0
540	5
680	6
608	7
543	4
509	2
657	7
530	5
658	8
576	8
285	1
120	1
573	1
374	2
637	9
557	3
215	5
642	5
570	8
618	11
639	7
141	2
592	3
185	0
601	8
429	3
375	6
506	5
562	1
327	5
508	10
561	8
128	5
469	5
696	10
650	14
498	4
413	7
631	3
450	10
596	4
654	7
312	2
383	4
446	5
534	3
604	15
291	2
703	3
328	5
524	4
397	7
262	5
294	1
382	2
569	3
522	8
672	9
579	3
616	3
110	2
634	8
600	13
607	10
569	8
367	2
610	5
678	8
122	1
631	9
230	1
393	4
654	12
527	9
675	9
255	3
651	3
564	3
562	9
477	6
576	10
572	3
659	7
578	6
371	2
567	4
588	4
624	7
629	4
652	8
506	4
604	4
549	9
188	0
292	5
564	3
652	12
599	16
524	6
511	4
413	3
611	9
240	1
636	7
135	2
439	3
374	4
505	8
696	5
307	2
626	6
336	3
149	2
607	8
602	0
619	11
576	3
606	9
495	6
583	10
564	9
597	7
622	5
615	6
631	5
658	1
572	2
335	0
141	1
671	4
532	5
591	8
281	4
405	4
461	4
640	5
326	2
638	7
125	1
592	8
519	5
686	3
128	1
650	12
431	7
619	8
587	7
269	3
315	3
523	9
567	13
517	3
416	2
489	9
135	5
424	3
450	2
477	6
654	7
269	4
372	3
141	0
248	3
609	7
330	5
665	20
650	5
422	3
188	2
550	3
285	6
649	16
561	9
574	7
641	12
459	7
367	6
736	16
479	5
456	2
274	9
618	5
528	6
646	7
435	1
639	8
614	9
729	1
665	10
240	2
367	7
507	9
602	9
592	3
596	10
